24
# x y z
0	0	0
5	0	0
10	0	0
15	0	0
20	0	0
25	0	0
30	0	0
35	0	0
40	0	0
45	0	0
50	0	0
55	0	0
60	0	0
65	0	0
70	0	0
75	0	0
80	0	0
85	0	0
90	0	0
95	0	0
100	0	0
105	0	0
110	0	0
115	0	0
213
# a b m n rhoa err k
12	21	16	17	5.65545141567099e+01	2.00176820544728e-02	3.14159265358979e+02
12	19	15	16	5.29274321789298e+01	2.00188937939898e-02	1.88495559215388e+02
12	17	14	15	4.23286719598651e+01	2.00236246485821e-02	9.42477796076938e+01
12	15	13	14	3.49657795477670e+01	2.00285993909741e-02	3.14159265358979e+01
13	24	18	19	7.06587685993684e+01	2.00141525251547e-02	4.71238898038469e+02
13	22	17	18	5.79762928540857e+01	2.00172484295006e-02	3.14159265358979e+02
13	20	16	17	4.85880725165516e+01	2.00205811827514e-02	1.88495559215388e+02
13	18	15	16	4.29583027976658e+01	2.00232783870608e-02	9.42477796076938e+01
13	16	14	15	3.34704848226681e+01	2.00298770694628e-02	3.14159265358979e+01
14	23	18	19	6.13330259239148e+01	2.00163044295457e-02	3.14159265358979e+02
14	21	17	18	5.14682287553726e+01	2.00194294621008e-02	1.88495559215388e+02
14	19	16	17	4.19150123308002e+01	2.00238578004489e-02	9.42477796076938e+01
14	17	15	16	3.46398089748996e+01	2.00288685194749e-02	3.14159265358979e+01
15	24	19	20	6.76520201571179e+01	2.00147815245972e-02	3.14159265358979e+02
15	22	18	19	5.33315696069787e+01	2.00187506200806e-02	1.88495559215388e+02
15	20	17	18	4.44220060925180e+01	2.00225113651535e-02	9.42477796076938e+01
15	18	16	17	3.25742028453528e+01	2.00306991395844e-02	3.14159265358979e+01
16	23	19	20	5.78488304080566e+01	2.00172864341932e-02	1.88495559215388e+02
16	21	18	19	4.65840208311280e+01	2.00214665883743e-02	9.42477796076938e+01
16	19	17	18	3.77552576616915e+01	2.00264863773136e-02	3.14159265358979e+01
